"","lon","lat","HarvestedStem","modelname","scenario"
"1",-47.7333,-23.4833,40.7653272583336,"HadGEM","rcp2p6"
"2",-47.7333,-23.4833,41.9948428884985,"HadGEM","rcp4p5"
"3",-47.7333,-23.4833,40.5938110487042,"HadGEM","rcp6p0"
"4",-47.7333,-23.4833,40.5830280545935,"HadGEM","rcp8p5"
"5",-47.7333,-23.4833,36.0523662261948,"IPSL","rcp2p6"
"6",-47.7333,-23.4833,39.5628004041753,"IPSL","rcp4p5"
"7",-47.7333,-23.4833,38.4852144260516,"IPSL","rcp6p0"
"8",-47.7333,-23.4833,37.5417967201997,"IPSL","rcp8p5"
"9",-47.7333,-23.4833,37.4093435399403,"MIROC","rcp2p6"
"10",-47.7333,-23.4833,40.0715914866824,"MIROC","rcp4p5"
"11",-47.7333,-23.4833,38.9980282058575,"MIROC","rcp6p0"
"12",-47.7333,-23.4833,38.4610664825567,"MIROC","rcp8p5"
"13",-47.7333,-23.4833,34.5332547190949,"NorESM","rcp2p6"
"14",-47.7333,-23.4833,34.7538679903707,"NorESM","rcp4p5"
"15",-47.7333,-23.4833,37.0034375652033,"NorESM","rcp6p0"
"16",-47.7333,-23.4833,35.3628818145898,"NorESM","rcp8p5"
"17",-47.7333,-23.4833,37.7269249919544,"GFDL","rcp2p6"
"18",-47.7333,-23.4833,37.6646419757867,"GFDL","rcp4p5"
"19",-47.7333,-23.4833,35.8882446431542,"GFDL","rcp6p0"
"20",-47.7333,-23.4833,34.9158916569558,"GFDL","rcp8p5"
